Cust_ID,Buy_product,Name,Newsletter_Subscription,Year_Birth,Membership,Preferred_Game_Genre,FidelityPoints,S1_GameplayExperience,S2_GameMechanics,S3_GameBalance,S4_GameLength,S5_MaterialQuality,S6_ValueForPrice,S7_Artwork_Design,S8_ThemeIntegration,S9_PlayerIteration,S10_LevelAdjust,S11_RuleClarity,S12_StrategicThinking,S13_ReplayValue,S14_Recommendation
17,0,Mr. John Miller,no,1982.0,Premium,Strategy,5756,3,3,3,2,5,3,5,5,5,5,5,3,4,5
18,0,Mr. Devin Benson,yes,1962.0,Non-Premium,Party,5229,2,3,2,2,5,2,5,5,1,2,3,4,3,5
19,0,Ms. Melissa Hayes MD,no,1995.0,Premium,Strategy,5466,2,4,2,2,2,2,2,2,5,2,4,3,5,2
20,1,Ms. Pamela Torres,yes,1982.0,Premium,Strategy,4299,1,1,2,1,2,4,4,3,3,3,3,4,3,3
21,0,Mr. John Schwartz,yes,1980.0,Premium,Party,5577,3,2,2,2,3,3,3,3,3,2,4,3,3,3
22,1,Mr. Rodney Fields,yes,1979.0,Premium,Strategy,5722,5,5,1,5,2,4,5,2,2,2,2,4,2,5
23,0,Mr. Theodore Vargas,yes,1963.0,Non-Premium,Party,4692,2,5,2,4,4,2,2,4,5,5,2,1,1,4
24,0,Mr. Ryan Hicks,yes,1996.0,Non-Premium,Party,5274,1,5,1,5,5,1,5,5,4,4,4,3,4,5
25,0,Mr. Matthew Nguyen,yes,1970.0,Premium,Strategy,3076,4,3,3,3,3,3,3,3,3,3,4,4,3,2
26,0,Ms. Mrs. Jill Nichols,no,1984.0,Premium,Party,5739,2,0,2,2,5,2,5,5,1,1,2,5,4,5
27,0,Mr. Edward Collier,y,1957.0,Non-Premium,Party,4424,4,4,3,3,4,3,4,4,4,4,3,1,3,4
28,1,Ms. Emily Thomas,yes,,Non-Premium,Party,4760,0,5,0,3,5,0,3,5,4,4,5,4,4,5
29,0,Mr. Bruce Freeman,no,1986.0,Premium,Strategy,4680,3,3,3,3,4,3,4,4,4,2,4,3,5,4
30,0,Mr. Edward Cain,y,1974.0,Non-Premium,Party,5021,2,4,3,1,5,3,4,5,4,2,5,3,2,5
31,0,Mr. Richard Vaughn,yes,1981.0,Premium,Party,4404,3,2,2,2,3,3,3,3,4,1,4,3,3,3
32,0,Ms. Jennifer Shaw,no,1983.0,Premium,Thematic,5165,4,4,4,4,4,4,4,4,3,2,3,1,3,4
33,0,Mr. Anthony Francis,yes,1955.0,Non-Premium,Party,5083,2,1,2,3,5,2,5,5,4,1,4,1,4,5
34,0,Mr. Russell Velasquez,no,1978.0,Premium,Party,5222,2,0,2,3,1,2,1,1,3,4,2,3,3,1
35,1,Ms. Miranda Sharp,no,1998.0,Premium,Party,5133,4,0,4,1,5,4,5,5,5,2,4,5,5,5
36,0,Mr. Steven Alvarez,yes,1996.0,Non-Premium,Strategy,5254,3,4,5,1,3,5,3,3,5,2,5,3,4,3
37,0,Ms. Melissa Page,yes,1965.0,Non-Premium,Party,6523,4,4,4,3,3,5,4,3,3,4,5,4,3,3
38,1,Mr. Stephen Ward,yes,1970.0,Premium,Strategy,5608,2,2,2,2,4,4,4,4,4,4,4,4,4,3
39,1,Mr. Matthew Martin,yes,1973.0,Premium,Strategy,5067,1,1,1,1,3,5,5,4,4,4,4,4,4,4
40,1,Ms. Kimberly Reed,yes,1978.0,Premium,Strategy,6578,3,3,3,3,5,4,4,4,4,4,4,4,4,5
41,0,Ms. Ashley Lewis,no,1967.0,Premium,Strategy,5371,2,2,2,5,1,2,1,1,3,5,4,3,4,1
42,1,Mr. George Wells,no,1997.0,Premium,Party,6001,0,4,0,4,2,0,2,2,5,5,5,5,4,2
43,1,Ms. Amy Floyd,yes,1978.0,Premium,Strategy,5219,2,2,2,2,2,3,4,3,3,4,3,3,3,4
44,0,Mr. Mitchell Bond,yes,1982.0,Premium,Strategy,3578,3,4,5,4,1,3,2,3,3,3,3,1,3,2
45,1,Ms. Danielle Torres,yes,1965.0,Premium,Strategy,6099,5,5,5,5,5,4,4,5,5,5,5,4,5,3
46,1,Mr. Timothy Rodriguez,yes,1978.0,Premium,Strategy,5072,0,0,0,1,5,5,4,5,5,5,5,4,5,3
47,0,Mr. Michael Boyle,yes,1999.0,Non-Premium,Party,4333,3,3,3,3,4,3,4,4,2,1,3,2,4,4
48,1,Ms. Laura Johnson,yes,1992.0,Premium,Strategy,2426,1,1,1,1,5,5,5,5,4,2,4,3,4,5
49,1,Ms. Theresa Newton,yes,1980.0,Premium,Party,4883,4,3,3,3,4,5,4,4,1,2,5,5,5,4
50,1,Ms. Heidi Baker,yes,1984.0,Premium,Strategy,6692,0,0,0,3,5,5,5,5,5,2,2,3,5,4
51,1,Mr. Brian Bryant,yes,1970.0,Premium,Strategy,6525,1,1,1,1,2,4,4,4,4,4,4,4,4,5
52,1,Ms. Kathy Sweeney,yes,1962.0,Premium,Strategy,5560,2,2,2,2,5,4,4,5,5,5,5,3,5,3
53,1,Ms. Brenda Newton,yes,1973.0,Premium,Strategy,6088,5,5,5,5,2,4,5,4,4,4,4,5,4,5
54,0,Mr. Richard Buck,yes,1959.0,Non-Premium,Party,3972,2,4,2,3,1,2,1,1,3,5,5,5,5,1
55,0,Mr. Keith Delgado,yes,1976.0,Non-Premium,Thematic,5216,2,5,3,5,5,3,5,5,5,3,5,2,2,5
56,1,Ms. Allison Hernandez,yes,1978.0,Non-Premium,Party,6587,5,5,5,1,4,5,5,5,5,5,3,4,5,5
57,0,Mr. Marcus White,no,1995.0,Premium,Party,4983,3,3,3,2,5,3,4,5,3,1,1,1,4,5
58,0,Mr. Christopher Dougherty Jr.,yes,1964.0,Premium,Party,5958,2,1,1,1,2,2,2,2,2,3,4,2,4,2
59,0,Mr. Robert Bryan,yes,1988.0,Non-Premium,Strategy,4258,3,5,3,3,4,3,4,4,5,2,4,5,5,4
60,0,Ms. Patricia Ho,no,1972.0,Premium,Strategy,4754,4,4,4,2,4,4,2,4,5,3,4,5,4,4
61,0,Mr. Shaun Drake,yes,1970.0,Non-Premium,Party,4597,2,4,2,4,4,2,1,4,4,4,2,4,3,4
62,1,Mr. Christopher Gamble,yes,1971.0,Premium,Strategy,4925,5,5,5,5,2,4,4,5,5,5,5,3,5,4
63,0,Mr. Joel Bowman,yes,1988.0,Non-Premium,Party,5364,2,5,2,3,1,2,1,1,3,5,4,4,4,1
64,1,Ms. Jill Berry,yes,1982.0,Premium,Strategy,5761,4,4,4,4,5,5,4,4,4,4,4,4,4,4
65,1,Ms. Erika Mills,yes,1979.0,Premium,Strategy,3056,1,1,1,1,3,4,4,2,2,3,2,3,2,4
66,1,Ms. Megan Walls,yes,1997.0,Premium,Strategy,3946,2,2,2,2,5,5,5,5,5,4,5,4,4,5
67,1,Ms. Jessica Davis,yes,1965.0,Premium,Party,6662,4,5,5,5,3,5,4,4,4,4,4,5,4,5
68,1,Mr. Jeffery Wells,yes,1971.0,Premium,Strategy,4153,0,5,0,2,4,1,1,1,1,1,1,1,1,3
69,1,Ms. Rachael Gould,yes,1984.0,Premium,Strategy,3258,2,2,2,2,4,2,3,4,4,5,4,4,4,2
70,1,Ms. Ashley Hines,yes,1961.0,Premium,Strategy,6659,2,2,2,2,3,3,5,5,5,5,5,2,5,2
71,0,Mr. Jeff Jones,yes,1981.0,Non-Premium,Party,5101,3,3,0,3,0,3,5,5,1,1,1,5,5,5
72,1,Mr. David Cook,yes,1986.0,Premium,Strategy,4898,3,3,3,3,3,5,5,5,5,5,5,3,5,3
73,0,Ms. Tammy Berry,no,1983.0,Premium,Strategy,5318,4,4,4,2,3,4,3,3,4,2,5,4,5,3
74,0,Mr. Ryan Thomas,yes,1982.0,Non-Premium,Party,5671,2,4,2,4,4,2,4,4,2,5,3,1,3,4
75,0,Ms. Kim Brown,yes,1977.0,Premium,Strategy,4586,2,5,5,5,2,2,2,4,3,1,3,2,4,2
76,1,Ms. Ashley Kline,yes,1980.0,Non-Premium,Party,4971,3,3,3,3,5,4,2,5,5,5,5,4,5,2
77,1,Ms. Tracy Washington,yes,1982.0,Premium,Strategy,6643,3,3,3,3,5,4,5,5,5,5,5,5,5,3
78,0,Ms. Theresa Ward,yes,1969.0,Non-Premium,Party,6403,4,1,4,4,1,4,3,5,5,4,5,1,5,2
79,1,Ms. Wanda Walker,yes,1985.0,Premium,Strategy,6606,4,1,4,4,5,4,4,4,4,4,4,4,4,3
80,0,Mr. Ralph Murphy,yes,2002.0,Non-Premium,Strategy,3827,3,4,3,3,2,3,2,2,5,2,5,5,4,2
81,1,Mr. Christopher Martinez,yes,1962.0,Premium,Strategy,6538,1,1,1,1,3,4,4,4,4,4,4,5,4,5
82,0,Mr. Zachary Taylor,yes,1993.0,Premium,Thematic,4769,3,4,4,4,3,3,3,3,2,5,4,1,3,3
83,0,Mr. Kevin Jones,yes,1998.0,Premium,Strategy,4650,2,3,3,3,2,2,2,2,4,4,4,4,3,2
84,1,Mr. Reginald Harris,yes,1957.0,Non-Premium,Party,5410,0,4,0,2,3,0,3,3,1,4,5,3,1,3
85,1,Ms. Angela Garcia,yes,1982.0,Premium,Party,4513,4,3,3,3,4,4,4,4,1,3,1,4,1,4
86,1,Mr. Adam Hill,yes,1985.0,Premium,Strategy,4322,4,4,4,4,5,5,5,1,1,4,5,5,1,5
87,1,Ms. Mrs. Sharon Morrow,yes,1957.0,Premium,Party,6945,2,3,3,3,5,4,2,1,1,2,1,2,1,4
88,0,Mr. Eric Marshall,yes,1975.0,Premium,Strategy,6176,1,2,2,2,5,3,4,1,1,1,1,3,1,2
89,0,Ms. Jennifer Morton,yes,1959.0,Non-Premium,Party,5399,3,5,4,2,5,3,4,2,2,4,4,5,2,4
90,0,Ms. Carolyn Morris,yes,1982.0,Premium,Strategy,6107,2,5,5,5,5,4,3,2,2,2,2,1,2,2
91,1,Ms. Allison Olson,yes,1992.0,Non-Premium,Party,4594,2,2,2,2,4,5,4,5,5,5,5,3,5,4
92,0,Ms. Bailey Johnston,yes,2007.0,Non-Premium,Party,5611,4,2,4,2,1,4,1,1,1,2,2,3,1,1
93,0,Mr. James Campbell,yes,1976.0,Non-Premium,Party,5075,4,5,4,1,5,4,5,5,5,2,5,5,4,5
94,1,Ms. Rose Morton,yes,1957.0,Non-Premium,Party,6624,4,5,1,4,3,4,3,4,4,1,4,2,4,5
95,0,Mr. John Hall,no,1986.0,Premium,Strategy,4444,3,3,3,3,5,3,5,5,5,2,4,5,4,5
96,0,Ms. Cynthia Banks,yes,1978.0,Non-Premium,Party,6444,4,5,4,3,5,4,5,3,3,4,3,5,3,3
97,0,Mr. Mark Mann,yes,1955.0,Non-Premium,Thematic,4456,1,4,1,2,2,1,2,2,5,4,5,4,4,2
98,0,Mr. Joshua Webster,yes,1972.0,Non-Premium,Party,4900,3,2,3,2,3,3,3,3,3,4,2,3,3,3
99,1,Mr. Garrett Torres,yes,1969.0,Premium,Strategy,4994,5,5,4,5,3,5,4,4,4,4,4,5,4,3
100,0,Ms. Kimberly Anderson,no,1982.0,Premium,Strategy,5310,3,3,3,3,4,3,4,4,3,5,5,4,4,4
101,1,Mr. Todd Webb,yes,1987.0,Premium,Strategy,3229,2,2,2,2,3,4,4,4,4,4,4,3,4,4
102,0,Ms. Sarah Richards,no,1972.0,Premium,Thematic,5255,2,1,1,3,4,2,2,4,3,3,2,1,2,4
103,0,Mr. Wesley Oconnor,yes,1979.0,Premium,Strategy,4884,1,1,1,1,3,4,4,1,1,1,1,1,1,2
104,0,Mr. Steven Dixon,yes,1968.0,Non-Premium,Party,4932,2,1,2,3,4,2,4,4,4,4,4,1,4,4
105,0,Mr. Andrew Mcclure,yes,1992.0,Premium,Strategy,4785,3,4,4,4,3,3,3,3,2,5,4,2,4,3
106,0,Ms. Crystal Petersen,no,1982.0,Premium,Strategy,5265,3,3,3,4,5,3,5,5,3,3,4,3,4,5
107,0,Mr. Robert Hernandez,yes,1976.0,Non-Premium,Party,4956,3,1,3,3,3,3,4,3,2,3,3,1,4,3
108,0,Ms. Mrs. Jodi Williams,no,1994.0,Premium,Party,4739,2,4,2,4,1,2,1,1,4,3,4,1,3,1
109,1,Ms. Lauren Hatfield,yes,1991.0,Premium,Strategy,4439,2,2,2,2,5,5,5,5,3,5,5,3,4,5
110,1,Mr. Ricky Duarte,yes,1974.0,Premium,Strategy,5390,5,5,5,5,3,5,4,2,2,2,2,5,2,5
111,1,Ms. Melissa Martin,yes,2001.0,Non-Premium,Party,5052,2,2,2,2,2,2,3,4,4,4,4,3,4,1
112,1,Mr. Michael Anderson,no,1964.0,Premium,Strategy,4613,5,5,5,2,2,5,2,2,3,2,4,5,5,2
113,0,Ms. Laura Reid,no,2004.0,Premium,Party,5238,1,2,1,3,1,1,1,1,1,3,3,4,4,1
114,0,Mr. Lonnie Garza DDS,yes,1959.0,Premium,Strategy,4412,1,5,1,5,2,3,3,3,3,3,1,3,3,4
115,0,Ms. Ashley Conrad,no,1982.0,Premium,Strategy,5091,4,4,4,3,1,4,1,1,4,2,5,3,4,1
116,0,Ms. Sandra Hunter,yes,1962.0,Premium,Party,6573,3,3,3,3,3,3,3,3,3,3,3,4,3,1
117,1,Ms. Amanda Smith,yes,1980.0,Premium,Strategy,4142,1,1,4,1,3,4,4,3,3,3,3,5,3,5
118,1,Ms. Rachel Morris,yes,1962.0,Non-Premium,Party,6129,4,4,4,4,3,4,4,4,4,4,4,3,4,3
119,1,Ms. Tiffany Holt,yes,1985.0,Premium,Strategy,4663,3,3,3,3,3,4,5,4,4,4,4,3,4,4
120,0,Ms. Jennifer Smith,no,2008.0,Premium,Party,4504,2,2,2,3,1,2,1,1,1,1,4,1,3,1
121,0,Ms. Diamond Hill,no,2003.0,Premium,Party,5107,3,1,3,3,5,3,5,5,3,1,3,1,4,5
122,1,Mr. David Ellis,yes,1977.0,Non-Premium,Party,4998,0,4,0,3,5,0,5,5,3,2,4,3,4,5
123,1,Mr. Justin Keith,yes,2010.0,Non-Premium,Party,4642,4,4,4,3,1,4,1,1,4,5,5,5,4,1
124,1,Mr. Jacob Abbott,yes,1993.0,Non-Premium,Party,4941,5,2,5,4,4,2,4,4,4,2,4,3,4,4
125,0,Mr. Jeffrey Stewart,yes,1959.0,Non-Premium,Party,5094,4,5,3,1,5,3,1,5,4,3,5,4,4,5
126,1,Mr. Edgar Johnson,yes,1967.0,Premium,Party,5524,5,3,3,3,5,5,5,5,5,1,1,1,3,5
127,0,Ms. Elizabeth Tyler,yes,,Premium,Party,5151,2,2,2,2,2,2,2,2,3,4,3,2,4,2
128,1,Mr. Daniel Payne,yes,1970.0,Premium,Strategy,6117,5,5,4,5,3,5,5,4,4,4,4,4,4,5
129,0,Ms. Ana Whitney,no,1998.0,Premium,Party,5637,1,1,1,4,4,1,1,4,2,1,4,3,3,4
130,1,Ms. Karina Boyd,yes,1986.0,Non-Premium,Party,5328,5,5,5,5,2,4,5,4,4,4,4,3,4,5
131,0,Mr. James Floyd,yes,1984.0,Premium,Strategy,3098,4,3,3,3,3,3,4,4,4,4,4,3,4,2
132,0,Ms. Summer Garcia,no,2011.0,Premium,Party,5133,1,2,2,2,1,2,1,1,1,3,3,3,2,1
133,1,Ms. Tammy Smith,yes,1966.0,Non-Premium,Strategy,6520,0,0,0,3,4,5,4,2,2,2,2,3,2,4
134,0,Mr. Gerald Richardson,no,1996.0,Premium,Strategy,5233,3,3,2,3,4,2,4,4,2,3,4,2,4,4
135,1,Ms. Barbara Key,yes,1978.0,Premium,Strategy,5874,4,4,4,4,5,5,5,2,2,2,2,4,2,4
136,1,Mr. Joshua Carroll,no,2001.0,Premium,Party,4332,3,3,3,5,4,3,4,4,3,3,5,3,4,4
137,0,Mr. Daniel Giles,no,1991.0,Premium,Party,4873,2,2,2,3,3,2,3,3,1,4,4,4,3,3
138,0,Mr. James Matthews,yes,1962.0,Non-Premium,Party,5264,3,4,3,4,3,3,3,3,1,5,3,1,5,3
139,0,Mr. Gabriel Singh,yes,1982.0,Premium,Party,5607,1,4,4,4,1,1,1,1,2,5,3,3,4,1
140,1,Mr. Christopher Bartlett,yes,1968.0,Premium,Strategy,6645,0,0,0,4,2,5,4,5,5,5,5,3,5,4
141,1,Ms. Carmen Hurst,yes,1974.0,Premium,Party,6632,4,4,4,4,2,2,5,5,5,4,5,4,5,3
142,1,Ms. Michelle Butler,yes,2011.0,Non-Premium,Strategy,5353,4,4,4,4,4,4,4,5,5,4,5,3,5,3
143,0,Mr. Joseph Rivera,yes,1951.0,Non-Premium,Party,5102,4,5,4,5,1,4,1,1,5,3,4,4,4,1
144,0,Mr. James Taylor,yes,1961.0,Premium,Strategy,5366,2,3,3,3,1,3,4,2,2,2,2,1,2,2
145,0,Mr. Lucas Barnes,yes,1980.0,Premium,Strategy,4456,2,3,3,3,1,4,3,2,2,2,2,1,2,1
146,1,Ms. Alicia White,yes,1974.0,Premium,Strategy,4680,2,2,2,2,2,5,4,4,4,4,4,4,4,4
147,1,Ms. Robin Berg,yes,2001.0,Non-Premium,Party,5080,5,5,5,5,2,4,5,4,4,4,4,3,4,5
148,1,Ms. Elizabeth Santos,no,,Premium,Strategy,5370,4,4,4,2,2,4,2,2,5,4,4,4,4,2
149,1,Mr. James Vega,yes,1984.0,Premium,Strategy,6791,2,2,2,2,2,2,2,5,5,5,5,3,5,1
150,1,Ms. Jackie Brown,yes,1966.0,Non-Premium,Party,6131,2,2,2,2,4,4,4,4,4,5,2,3,1,4
151,0,Mr. Jerry Cannon,yes,1986.0,Non-Premium,Party,4672,3,1,3,2,4,3,4,4,3,1,2,2,3,4
152,0,Mr. Nathaniel Lopez,yes,1974.0,Non-Premium,Party,4705,2,4,2,4,4,2,4,4,4,5,4,3,5,4
153,1,Mr. Corey Lucas,yes,1965.0,Premium,Strategy,5004,2,2,2,2,3,5,5,4,4,4,4,3,4,3
154,0,Ms. Melissa Johnson,yes,1985.0,Premium,Strategy,4247,1,5,5,5,4,3,4,1,1,1,1,4,1,4
155,1,Ms. Jessica Brewer,yes,1978.0,Non-Premium,Party,5957,4,4,4,4,3,4,5,5,5,5,5,4,5,5
156,1,Ms. Stephanie Smith,yes,2008.0,Non-Premium,Party,5600,3,3,3,3,3,5,5,4,4,5,4,3,4,5
157,0,Mr. Craig White,yes,1962.0,Non-Premium,Strategy,6346,1,5,1,5,4,4,5,3,3,1,3,3,3,5
158,1,Ms. Felicia Collins,yes,1993.0,Non-Premium,Party,5833,1,1,1,1,4,3,5,1,1,2,1,3,1,4
159,1,Ms. Theresa Walker,yes,1991.0,Non-Premium,Party,3822,1,1,1,1,5,5,4,5,5,5,5,5,5,5
160,1,Ms. Mary Mcpherson,no,1993.0,Premium,Strategy,5053,0,0,0,1,5,0,5,5,3,2,5,4,5,5
161,0,Mr. Larry Spence,yes,1982.0,Premium,Strategy,4193,4,5,5,5,2,3,4,1,1,1,4,4,1,4
162,0,Mr. Alex Chavez,yes,1994.0,Premium,Strategy,2263,2,4,5,4,2,2,2,4,3,2,3,2,4,2
163,0,Ms. Nicole Ware,yes,1963.0,Premium,Thematic,6741,4,1,1,1,3,3,4,4,4,4,4,2,4,3
164,0,Ms. Bonnie Hernandez,yes,1987.0,Non-Premium,Party,4809,3,5,3,5,5,3,5,5,3,3,5,5,4,5
165,0,Mr. William Marquez,yes,1974.0,Premium,Strategy,5710,1,4,3,3,4,4,4,1,1,1,1,2,1,2
166,1,Mr. Cameron Myers,yes,1967.0,Premium,Party,5213,4,1,1,1,4,4,4,4,5,4,2,2,4,4
167,1,Mr. Robert English,yes,1975.0,Premium,Strategy,6144,1,1,1,1,4,4,4,5,5,5,5,5,5,4
168,1,Mr. Grant Adams,yes,1953.0,Premium,Strategy,6736,1,1,1,1,5,4,5,4,4,4,4,4,4,4
169,1,Ms. Elizabeth Lawson,yes,,Premium,Strategy,3669,1,1,1,1,5,5,5,5,4,5,5,4,4,5
170,0,Ms. Ashley Bailey,no,1998.0,Premium,Party,4972,2,0,2,4,2,2,1,2,4,3,5,5,4,2
171,1,Ms. Elizabeth Morgan,yes,,Premium,Strategy,4593,1,1,1,1,2,4,5,4,4,4,5,2,4,4
172,1,Ms. Patty Woods,yes,1965.0,Non-Premium,Party,6391,5,3,5,3,2,2,3,3,3,5,3,5,3,1
173,0,Ms. Heather Blair,no,1981.0,Premium,Strategy,5712,1,1,1,3,2,1,2,2,1,2,4,1,3,2
174,0,Ms. Jordan Mendez,no,1995.0,Premium,Strategy,5538,3,2,3,3,3,3,3,3,3,2,3,3,4,3
175,0,Ms. Tanya Clark,yes,1960.0,Premium,Party,6551,1,2,2,2,3,2,2,1,1,1,1,4,1,4
176,1,Mr. John Conley,yes,1987.0,Premium,Strategy,3334,1,1,1,1,5,2,2,5,5,5,5,5,5,2
177,1,Ms. Regina Jordan,yes,1980.0,Premium,Strategy,3234,5,5,5,5,3,4,5,5,5,5,5,4,5,3
178,1,Ms. Valerie Morrow,yes,2006.0,Non-Premium,Party,5257,3,3,5,3,3,5,5,5,5,5,5,4,5,5
179,0,Mr. Wayne Kelly,no,1967.0,Premium,Strategy,3716,3,3,3,2,5,3,5,5,4,3,5,4,4,5
180,0,Ms. Rachael Armstrong,yes,2014.0,Non-Premium,Party,5371,4,3,4,3,2,4,2,2,3,5,3,1,2,2
181,0,Mr. Jonathan Jenkins,yes,1976.0,Non-Premium,Party,5097,1,5,1,1,2,1,2,2,3,5,5,3,4,2
182,0,Mr. Jesse Martin MD,yes,1999.0,Non-Premium,Party,5276,2,0,4,3,3,4,3,3,5,2,4,3,4,3
183,0,Mr. David Richardson,yes,1947.0,Premium,Strategy,6713,3,5,5,5,2,3,3,3,3,3,3,1,3,4
184,1,Ms. Ashley Nguyen,yes,1969.0,Premium,Strategy,5490,2,2,2,2,3,5,4,4,4,4,4,4,4,5
185,1,Mr. David Anderson,yes,1977.0,Premium,Strategy,6766,0,0,0,3,2,5,5,5,5,5,5,3,5,5
186,1,Ms. Michelle Davis,yes,1982.0,Premium,Thematic,5768,3,5,5,5,3,2,3,3,5,1,5,1,4,3
187,1,Ms. Jessica Grimes,no,1993.0,Premium,Strategy,4694,4,4,4,1,3,4,3,3,4,5,5,4,4,3
188,0,Ms. Deborah Myers,no,1994.0,Premium,Party,5352,2,0,2,3,4,2,4,4,1,5,3,4,3,4
189,1,Ms. Christina Smith,yes,1979.0,Premium,Strategy,4512,1,1,1,1,2,5,4,4,4,4,4,5,4,3
190,0,Ms. Alicia Scott,yes,1973.0,Premium,Party,6763,1,1,1,1,5,4,3,1,1,1,1,4,1,2
191,0,Mr. Charles Johns,no,1991.0,Premium,Party,6087,2,0,2,2,5,2,5,5,1,2,3,2,3,5
192,1,Ms. Samantha Morgan,yes,1973.0,Premium,Strategy,4072,4,4,4,4,2,5,5,5,5,5,5,4,5,5
193,1,Mr. Jeffrey Morrison,yes,1990.0,Premium,Strategy,3686,1,5,1,1,5,5,5,5,3,5,3,4,4,5
194,1,Mr. Mark Schultz,yes,1961.0,Premium,Strategy,3002,4,4,4,4,4,5,5,5,5,5,5,3,5,5
195,1,Ms. Lori Berry,yes,1972.0,Premium,Party,6595,5,4,4,4,2,2,4,5,5,5,5,2,5,5
196,1,Ms. Robin Brock,yes,1959.0,Non-Premium,Party,5565,0,4,0,3,4,4,5,4,4,4,4,4,4,4
197,1,Mr. William Baird,no,1996.0,Premium,Strategy,5491,4,1,4,5,2,4,5,2,4,4,4,3,5,2
198,1,Ms. Michele Bailey,yes,1990.0,Premium,Strategy,4236,1,1,1,1,5,5,5,5,5,4,5,5,4,5
199,1,Ms. Connie Griffin,yes,1970.0,Premium,Strategy,6216,4,4,5,4,3,4,4,4,4,4,4,3,4,4
200,0,Mr. Andrew Stewart,yes,2006.0,Non-Premium,Thematic,5464,2,4,2,3,5,2,5,5,5,4,5,5,5,5
201,1,Mr. Michael Hansen,yes,1964.0,Premium,Strategy,5784,3,3,3,3,4,4,4,5,5,5,5,5,5,3
202,0,Ms. Melissa Ho,yes,1983.0,Premium,Strategy,2178,2,5,5,5,2,2,2,1,4,3,4,2,4,2
203,0,Ms. Danielle Mullins,yes,1955.0,Premium,Party,3083,3,1,1,1,3,3,3,1,2,2,4,3,2,3
204,1,Ms. Isabella Wagner,yes,1972.0,Premium,Strategy,6165,3,3,3,3,2,4,4,5,5,5,5,4,5,4
205,0,Mr. Raymond Mcgee,yes,1966.0,Non-Premium,Party,5811,2,5,2,1,5,2,4,5,3,2,4,4,5,5
206,0,Mr. David Nichols,no,1994.0,Premium,Strategy,4813,1,1,1,3,1,1,1,1,3,2,5,4,5,1
207,0,Mr. Anthony Perez,yes,1966.0,Non-Premium,Party,4879,2,2,2,3,2,2,2,2,2,1,4,2,4,2
208,1,Mr. Thomas Carr,yes,1979.0,Premium,Strategy,3559,0,3,0,1,5,5,5,5,5,5,5,1,5,3
209,0,Mr. Lucas Krueger,no,1983.0,Premium,Party,5500,2,4,3,4,3,3,1,3,4,5,3,3,3,3
210,1,Ms. Kelly Freeman,yes,2005.0,Premium,Strategy,4373,3,3,3,3,4,4,4,4,5,3,5,3,2,4
211,0,Mr. Jack White,yes,1976.0,Premium,Strategy,3189,4,3,3,3,1,3,3,4,4,4,4,2,4,4
212,1,Ms. Anna Russell,yes,1997.0,Premium,Strategy,2370,2,2,2,2,4,4,4,4,5,3,5,4,4,4
